ID,eps_TL,Nc_TL
0e8420e0-37b1-4bb6-8b69-0d2cc90ff17c,3,1e+27
8b5fa971-d283-4cb3-be9e-c8be978bee5c,5,1e+27
749a7f5f-237f-42aa-9697-18e907a61231,10,5e+24
932f0a53-4093-44a1-bcaf-bf19ab7191a8,15,5e+24
